Data,Salário mínimo real - R$ - Instituto de Pesquisa Econômica Aplicada (IPEA) - GAC12_SALMINRE12,
1982.10,647.70814099481,
1982.11,873.215442170895,
1982.12,807.148319403536,
1983.01,739.522039790978,
1983.02,684.48809359899,
1983.03,638.391414802722,
1983.04,599.060673732541,
1983.05,828.373090825748,
1983.06,747.405010364093,
1983.07,670.747969615946,
1983.08,610.620605553538,
1983.09,548.76105342209,
1983.10,498.436242924746,
1983.11,762.473017785193,
1983.12,703.75253157477,
1984.01,643.336693417127,
1984.02,586.254117522576,
1984.03,533.768392922828,
1984.04,487.350653582618,
1984.05,762.69576318416,
1984.06,693.601374342865,
1984.07,635.702612040689,
1984.08,585.521219383507,
1984.09,527.012430610309,
1984.10,476.971788326866,
1984.11,741.018049114176,
1984.12,663.864973681269,
1985.01,593.599956913765,
1985.02,535.02356010514,
1985.03,486.630260794526,
1985.04,448.160104292115,
1985.05,836.097244904098,
1985.06,771.773631139326,
1985.07,701.126225559041,
1985.08,628.178205317672,
1985.09,570.616902150124,
1985.10,517.565043339146,
1985.11,816.419636553022,
1985.12,705.327868943633,
1986.01,613.276284743116,
1986.02,545.282124916784,
1986.03,708.202390935079,
1986.04,705.170148142704,
1986.05,697.667613720644,
1986.06,690.996577914295,
1986.07,684.78281041888,
1986.08,675.121431287791,
1986.09,667.171332968229,
1986.10,657.752740187469,
1986.11,636.815382067567,
1986.12,593.681267474946,
1987.01,609.862124690539,
1987.02,535.232939303984,
1987.03,663.400727278914,
1987.04,548.450715332287,
1987.05,534.467298031208,
1987.06,528.734696789997,
1987.07,480.971681133875,
1987.08,457.69841600055,
1987.09,520.391138756535,
1987.10,516.259801301898,
1987.11,510.449534432163,
1987.12,537.457912535474,
1988.01,564.702933364042,
1988.02,572.127456614545,
1988.03,572.569569480036,
1988.04,562.971468956247,
1988.05,571.352831447291,
1988.06,556.064690819191,
1988.07,542.519532655555,
1988.08,562.063937056766,
1988.09,539.851240967691,
1988.10,532.650428369555,
1988.11,540.164517199524,
1988.12,552.024885589145,
1989.01,548.055971534987,
1989.02,553.564124004895,
1989.03,522.723452238412,
1989.04,483.734501978453,
1989.05,528.167293937596,
1989.06,601.719555831324,
1989.07,589.596911640129,
1989.08,570.021894239512,
1989.09,540.735612986353,
1989.10,596.267594292885,
1989.11,586.352323931598,
1989.12,548.138290742457,
1990.01,530.899937514105,
1990.02,476.34122000484,
1990.03,479.276147442834,
1990.04,417.961234102778,
1990.05,389.489549025524,
1990.06,366.323637272019,
1990.07,413.553760126907,
1990.08,391.102864758973,
1990.09,398.393875643582,
1990.10,369.357781602917,
1990.11,409.54100332256,
1990.12,364.681945274201,
1991.01,420.55272445072,
1991.02,451.218284385802,
1991.03,431.678443096473,
1991.04,411.088600562908,
1991.05,385.347580863893,
1991.06,347.687484250368,
1991.07,310.042339455884,
1991.08,268.161381286053,
1991.09,573.002507428721,
1991.10,473.249224497392,
1991.11,374.171639298234,
1991.12,301.386764862023,
1992.01,547.290364271276,
1992.02,439.659729429635,
